Community plan,Summary,Council person,Staff recommendation,School district representative,Proposed zoning type id,Community character policy id,Existing zoning type id,Map id,Pdf link,Request type,School district,ID,Date,Requested by,Community character policy,Parcel id,Document number,Applicant,Council district,Staff recommendation description,Project name,Number of acres,Number of units proposed,Number of units currently,Location description,Addresses
South Nashville Community Plan,"The proposed rezoning supports mixed-use development, consistent with T4 MU policy, and enhances pedestrian facilities.",Sledge,Approve,Player Peters,"[""MUL-A-NS""]","[""T4 MU"",""CO""]","[""IWD""]","[""165""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220324sr.pdf_item_23.pdf,zone change,7,2022Z-030PR-001_2022-03-24,2022-03-24,"Smith Gee Studio, applicant; William Ruff and Snydwood GP, owners","Urban Mixed Use Neighborhood (T4 MU), Conservation (CO)","[""011"",""012"",""102""]",2598,"Smith Gee Studio, applicant; William Ruff and Snydwood GP, owners",17,Staff recommends approval.,2022Z-030PR-001,0.72,16,,Approximately 92 feet north of Eugenia Avenue (0.72 acres),"[""2251 Winford Avenue"",""802 Longview Avenue""]"
North Nashville Community Plan,Request to rezone from Office General (OG) to Office/Residential Intensive-Alternative (ORI-A) consistent with T5 Center Mixed Use Neighborhood policy.,Taylor,Approve,Buggs,"[""ORI-A""]","[""T5 MU""]","[""OG""]","[""161""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220310sr.pdf_item_19.pdf,zone change,5,Zone Change 2022Z-027PR-001_2022-03-10,2022-03-10,Gilbert N. Smith,T5 Center Mixed Use Neighborhood,"[""307""]",2570,"Gilbert N. Smith, applicant, and owner",21,Staff recommends approval of this request as the proposed rezoning is consistent with the T5 Center Mixed Use Neighborhood policy,Zone Change 2022Z-027PR-001,0.6,8,,approximately 160 feet north of Charlotte Avenue (0.12 acres),"[""405 B 31st Ave N""]"
Donelson-Hermitage-Old Hickory Community Plan,"The request to rezone from R10 to OR20-A-NS is consistent with the Transition Policy, increasing units from 8 to 39.",Hagar,Approve,Nabaa Mc Kinney,"[""OR20-A-NS""]","[""TR""]","[""R10""]","[""071-10""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/201008sr.pdf_item_10.pdf,zone change,4,2020Z-115PR-001_2020-10-08,2020-10-08,"Design Build Partners, applicant; Woodbine Community Organization Inc., owner",Transition,"[""099"",""100""]",2113,Design Build Partners,11,Staff recommends approval as the request is consistent with the Transition Policy,2020Z-115PR-001,1.97,39,8,"southwest corner of Bennett Drive and Robinson Road, 1.97 acres","[""910 Robinson Road"",""Bennett Drive""]"
Donelson – Hermitage – Old Hickory Community Plan,The application involves canceling a portion of the Planned Unit Development Overlay District for properties at 801 and 828 Royal Parkway.,Gregg,Conditional,Nabaa Mc Kinney,"[""MUL-NS""]","[""T3 CC""]","[""CS""]","[""108"",""108-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/102623StaffReport.pdf_item_23.pdf,planned unit development,4,Metro Airport Center PUD (Cancellation)_2023-10-26,2023-10-26,"Tune, Entrekin, & White, PC",T3 Suburban Community Center (T3 CC),"[""216"",""081""]",482,"Tune, Entrekin, & White, PC",15,Approve if the associated rezone is approved and disapprove if the associated rezone is not approved.,Metro Airport Center PUD (Cancellation),10.68,,,northeast corner of Royal Parkway and Airport Center Drive,"[""801 Royal Parkway"",""828 Royal Parkway""]"
East Nashville Community Plan,Zone change from RS10 to R10 at 3049 Hillside Road for a 1.67-acre site.,VanReece,Approve,Speering,"[""R10""]","[""T4 NE""]","[""RS10""]","[""071-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200409sr.pdf_item_43.pdf,zone change,3,Zone Change 2020Z-048PR-001_2020-04-09,2020-04-09,Rhythm Homes and Development LLC,T4 Urban Neighborhood Evolving (T4 NE),"[""008""]",1801,"Rhythm Homes and Development LLC, applicant; Edna Janice Wilson, owner",8,Staff recommends approval,Zone Change 2020Z-048PR-001,1.67,14,7,"Approximately 250 feet south of Broadmoor Drive, 1.67 acres","[""3049 Hillside Road"",""Broadmoor Drive""]"
Bordeaux-Whites Creek-Haynes Trinity Community Plan,"Propose change from Urban Neighborhood Evolving (T4 NE) to Urban Neighborhood Center (T4 NC) for properties located at southwest corner of Cliff Drive and Buena Vista Pike, zoned R8.",Kyonzté Toombs,Approve,Gentry,"[""T4 NC""]","[""T4 NE"",""T4 NC""]","[""R8""]","[""091""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/061324StaffReport.pdf_item_0.pdf,major plan amendment,1,Bordeaux-Whites Creek-Haynes Trinity Community Plan Amendment_2024-06-13,2024-06-13,Metro Planning Department,Urban Neighborhood Evolving (T4 NE) to Urban Neighborhood Center (T4 NC),"[""062""]",251,"Metro Planning Department, applicant; various owners",2,Staff recommends approval.,Bordeaux-Whites Creek-Haynes Trinity Community Plan Amendment,1.12,,,"southwest corner of Cliff Drive and Buena Vista Pike, 1.12 acres","[""Cliff Drive"",""Buena Vista Pike""]"
GREEN HILLS - MIDTOWN COMMUNITY PLAN,The site consists of three parcels totaling 0.64 acres located at the northeast corner of Elliston Place and Louise Avenue. The rezoning request is inconsistent with the policy and supplemental policies.,Kindall,Disapprove,Buggs,"[""MUI-A""]","[""T5 MU""]","[""ORI""]","[""071-16""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190228sr.pdf_item_16.pdf,zone change,5,Zone Change 2018Z-124PR-001_2019-02-28,2019-02-28,"Triumph Hospitality, LLC",Center Mixed Use Neighborhood (T5 MU),"[""278""]",1156,"Triumph Hospitality, LLC, applicant; Hilsea Holdings, LTD., owner",21,Staff recommends disapproval as the request is inconsistent with the existing land uses policies at this location,Zone Change 2018Z-124PR-001,0.64,,3,northeast corner of Elliston Place and Louise Avenue,"[""2221 Elliston Place"",""114 Louise Avenue"",""118 Louise Avenue""]"
Bordeaux-Whites Creek-Haynes Trinity Community Plan,Zone change from residential to industrial for properties on Haynie Avenue for industrial uses consistent with policy guidance.,Hastings,Approve,Gentry,"[""IWD""]","[""D IN""]","[""R8""]","[""071-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190328sr.pdf_item_29.pdf,Zone Change,1,2019Z-043PR-001_2019-03-28,2019-03-28,Michael King,"Bordeaux-Whites Creek-Haynes Trinity Community Plan, District Industrial (D IN)","[""254""]",3692,"Michael King, applicant and owner",2,Staff recommends approval.,2019Z-043PR-001,0.28,,2,"North side of Haynie Avenue, west of Brick Church Pike, 0.28 acres","[""Haynie Avenue""]"
East Nashville Community Plan,"The proposal seeks to rezone multiple parcels from IR and MUN-A-NS to MUL-A-NS to align zoning with the East Nashville Community Plan objectives. Staff recommends disapproval, citing zoning consistency issues.",Parker,Disapprove,Buggs,"[""MUL-A-NS""]","[""T4 MU""]","[""IR"",""MUN-A-NS""]","[""071-14""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/102623StaffReport.pdf_item_16.pdf,zone change,5,2023Z-092PR-001_2023-10-26,2023-10-26,"Fulmer Lucas Engineering, applicant",T4 Urban Mixed Use Neighborhood (T4 MU),"[""355"",""358""]",475,"Fulmer Lucas Engineering, applicant; Douglas Village, LLC, owner",5,Staff recommends disapproval.,2023Z-092PR-001,0.59,13,,Approximately 150 feet west of McFerrin Avenue (0.59 acres),"[""828 McKennie Avenue"",""830 McKennie Avenue"",""832 McKennie Avenue"",""834 W. McKennie Avenue""]"
,Request to resubdivide Lot 18 Sharondale Heights into two lots and abandon right-of-way.,Pulley,Defer,O Hara Block,"[""R10""]",,"[""R10""]","[""147-07""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220922sr.pdf_item_17.pdf,final plat,8,Resubdivision of Lot 18 Sharondale Heights_2022-09-22,2022-09-22,"James L. Terry; Lansoti Enterprises LLC, owner",,"[""084"",""085"",""236""]",2797,James L. Terry,25,"Staff recommends deferral to October 13, 2022, Planning commission meeting.",Resubdivision of Lot 18 Sharondale Heights,0.83,2,,"Southern terminus of White Oak Drive, 0.83 acres","[""2816 White Oak Drive""]"
North Nashville Community Plan,"Rezoning from RS5 to R6-A to permit one and two-family dwellings, consistent with the T4 Urban Neighborhood Evolving policy.",Kindall,Approve,Buggs,"[""R6-A""]","[""T4 NE""]","[""RS5""]","[""071-08""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190613sr.pdf_item_32.pdf,zone change,5,Not Specified_2019-06-13,2019-06-13,Red River Development,T4 Urban Neighborhood Evolving (T4 NE),"[""242""]",1416,"Red River Development, applicant; Duran, Gerado, owner.",21,Staff recommends approval as the request is consistent with the T4 Urban Neighborhood Evolving policy of the North Nashville Community Plan.,Not Specified,0.2,2,1,"approximately 280 feet northwest of Delaware Avenue, 0.20 acres","[""525 31st Avenue North""]"
Bordeaux – Whites Creek – Haynes Trinity Community Plan,Request to rezone property from RS7.5 to RM15. Staff recommends RM9-NS instead for a more appropriate density.,Toombs,Conditional,Gentry,"[""RM15"",""RM9-NS""]","[""T3 NE""]","[""RS7.5""]","[""068""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/050924StaffReport.pdf_item_14.pdf,zone change,1,2024Z-019PR-001_2024-05-09,2024-05-09,"Legacy South, LLC, applicant; Fannie & James Holmes, owner",T3 Suburban Neighborhood Evolving (T3 NE),"[""030""]",2580,"Legacy South, LLC, applicant; Fannie & James Holmes, owner",2,Staff recommends disapproval of RM15 and approval of RM9-NS.,2024Z-019PR-001,2.88,43,1,"approximately 185 feet east of Gwynnwood Drive, 2.88 acres","[""506 Ewing Drive""]"
East Nashville Community Plan,The application proposes a multi-family residential development along the corridor and provides improved pedestrian facilities along Douglas Avenue and a portion of North 5th Street.,S. Davis,Conditional,Buggs,"[""SP-R""]","[""T4 NE""]","[""RS5""]","[""104-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180927sr.pdf_item_1.pdf,preliminary sp,5,1300 N 5th SP_2018-09-27,2018-09-27,Allison Patton,Urban Neighborhood Evolving (T4 NE),"[""058""]",922,"Allison Patton, applicant and owner",5,Approve with conditions and disapprove without all conditions,1300 N 5th SP,0.34,10,2,northwest corner of North 5th Street and Douglas Avenue (0.34 acres),"[""1300 N 5th Street"",""North 5th Street"",""Douglas Avenue""]"
Southeast,The proposal is consistent with the community plan but needs conditions for improved connectivity.,Swope,Conditional,Elrod,"[""SP-R""]","[""T3 NM""]","[""R40""]","[""133-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220310sr.pdf_item_12.pdf,preliminary sp,2,Overland Park SP_2022-03-10,2022-03-10,"Dale & Associates, applicant; Susan B. Campbell Et Vir, owner",T3 Suburban Neighborhood Maintenance (T3 NM),"[""154""]",2563,Dale & Associates,4,Approve with conditions and disapprove without all conditions,Overland Park SP,14.6,36,18,"west side of Edmonson Pike, approximately 175 feet south of Banbury Station","[""5991 Edmonson Pike"",""5997 Edmonson Pike""]"
,"Request to cancel part of Biltmore PUD. Defer to May 26, 2022.",Rosenberg,Defer,Tylor,,,"[""AR2a"",""CL""]","[""84-85P-005""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220512sr.pdf_item_4.pdf,preliminary sp,9,Biltmore PUD (Cancelation)_2022-05-12,2022-05-12,"Dale & Associates, applicant; Branstetter Legacy Partners, LLC, owner",,"[""005""]",2650,Dale & Associates,35,"Staff recommends deferral to the May 26, 2022, Planning Commission meeting at the request of the applicant.",Biltmore PUD (Cancelation),10.51,0,0,"Located at Newsom Station Road and Settlers Way (10.51 acres), approximately 300 feet west of Settlers Way","[""Settlers Way""]"
Bordeaux – Whites Creek - Haynes Trinity Community Plan,"The site is proposed to be rezoned from R10 to RM15-A-NS, enabling the development of multi-family residential units.",Toombs,Approve,Gentry,"[""RM15-A-NS""]","[""T3 NE""]","[""R10""]","[""119-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/032824StaffReport.pdf_item_20.pdf,zone change,1,None_2024-03-28,2024-03-28,"Shawn D. Jackson, Zaia M. Thombre",Suburban Neighborhood Evolving (T3 NE),"[""373"",""374""]",95,"Shawn D. Jackson, Zaia M. Thombre",2,Staff recommends approval.,,0.35,5,2,"northwest corner of Courtney Ave and Bellfield Ave, 0.35 acres","[""2119 Courtney Ave"",""Bellfield Ave""]"
Parkwood-Union Hill Community Plan,The proposal requests approval to create 237 residential cluster lots on approximately 149.45 acres under existing zoning entitlements. It complies with applicable policies and preserves natural features including open space.,Haywood,Conditional,Speering,,"[""T2 RM"",""CO""]","[""R20""]","[""2018S-204-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190228sr.pdf_item_12.pdf,concept plan,3,Hunters Run_2019-02-28,2019-02-28,Ragan-Smith and Associates,"T2 Rural Maintenance (T2 RM), Conservation (CO)","[""204""]",1152,"Ragan-Smith and Associates, applicant; The Galbreath Family Gen. Partnership and P.J. Dunn, owners",3,Approve with conditions.,Hunters Run,149.45,237,,"Approx. 440 feet north of Dalemere Drive, zoned One and Two-Family Residential (R20) (149.45 acres).","[""1269 Hunters Lane""]"
Donelson - Hermitage - Old Hickory Community Plan,The request to rezone from Specific Plan-Commercial (SP-C) to Mixed Use Limited-Alternative (MUL-A) is consistent with community policies and guidelines.,Syracuse,Approve,Shepherd,"[""MUL-A""]","[""T4 CM""]","[""SP-C""]","[""091-04""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190425sr.pdf_item_22.pdf,zone change,4,Zone Change 2018Z-129PR-001_2019-04-25,2019-04-25,"Goodwyn, Mills, and Cawood Inc.",T4 Urban Mixed Use Corridor (T4 CM),"[""010""]",1285,"Goodwyn, Mills, and Cawood Inc.",15,Staff recommends approval as the request is consistent with the T4 Mixed Use Corridor policy and the Lebanon Pike Small Area Plan.,Zone Change 2018Z-129PR-001,1.77,38,0,"North side of Lebanon Pike approximately 150 feet east of Spence Lane, 1.77 acres","[""1510 Lebanon Pike""]"
East Nashville Community Plan,Proposal to change zoning from SP-R to R6-A to provide design standards for single-family dwellings and duplexes.,Davis,Approve,Buggs,"[""R6-A""]","[""T4 NE""]","[""SP-R""]","[""105-07""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180801sr.pdf_item_17.pdf,zone change,5,Zone Change 2017Z-089PR-001_2018-08-01,2018-08-01,Council Member Scott Davis,T4 Urban Neighborhood Evolving (T4 NE),"[""521"",""522""]",3267,"Council Member Scott Davis, applicant; 786 Properties, LLC, owner",5,Staff recommends approval as the request is consistent with the T4 Neighborhood Evolving policy at this location.,Zone Change 2017Z-089PR-001,0.21,2,1,"southeast corner of Cleveland Street and Joseph Avenue, 0.21 acres","[""869 Joseph Avenue""]"
Antioch - Priest Lake Community Plan,"Rezoning of 2377 Couchville Pike to permit industrial uses, limiting maximum floor area to 500,000 sq ft on 34.77 acres.",Porterfield,Conditional,Player Peters,"[""SP-IND""]","[""D I""]","[""R20""]","[""121""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-210624sr.pdf_item_18.pdf,preliminary sp,7,2377 Couchville Pike_2021-06-24,2021-06-24,"Energy Land and Infrastructure, applicant; Tommy Estes, owner",District Impact (D I),"[""13300""]",2304,Energy Land and Infrastructure,29,Approve with conditions and disapprove without all conditions,2377 Couchville Pike,34.77,0,93,"South side of Couchville Pike, east of the intersection of Couchville Pike and Pulley Road","[""2377 Couchville Pike"",""Pulley Road""]"
Bordeaux-Whites Creek-Haynes Trinity,Request to cancel a portion of the Planned Unit Development Overlay District for property located at Clarksville Pike.,Toombs,Conditional,Gentry,,"[""T3 CM""]","[""SCN"",""PUD""]","[""2022SP-028-001"",""35-87P-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220623sr.pdf_item_12.pdf,SP Amendment,1,Planned Unit Development 99-76P-001 Northgate Shopping Center PUD (Cancelation)_2022-06-23,2022-06-23,Smith Gee Studio,Suburban Mixed Use Corridor (T3 CM),"[""086""]",2697,Smith Gee Studio,2,Approve if the associated SP is approved and disapprove if the associated SP is not approved.,Planned Unit Development 99-76P-001 Northgate Shopping Center PUD (Cancelation),2.47,,,"Located at Clarksville Pike, approximately 1,175 feet south of Abernathy Road","[""Clarksville Pike""]"
North Nashville Community Plan,Preliminary SP to permit a mixed use development.,O'Connell,Conditional,Gentry,"[""SP-MU""]","[""T4 MU""]","[""IR""]","[""072-07""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200723sr.pdf_item_22.pdf,preliminary sp,1,2nd and Monroe SP_2020-07-23,2020-07-23,Centric Architecture,North Nashville Community Plan T4 Urban Mixed Use Neighborhood (T4 MU),"[""81"",""82""]",1987,"Centric Architecture, applicant; Y u-Tien Terry Wang, Pai-Lun Janey Wang, and Y u-Jen Spencer Wang, owners",19,Approve with conditions and disapprove without all conditions.,2nd and Monroe SP,0.89,217,,"located at 1217, 1221, 1225, 1227, 1229 and 1231 2nd Avenue North, at the southwest corner of 2nd Avenue North and Monroe Street","[""1217 2nd Avenue North"",""1221 2nd Avenue North"",""1225 2nd Avenue North"",""1227 2nd Avenue North"",""1229 2nd Avenue North"",""1231 2nd Avenue North""]"
